uid,name,type,programs,alternate_names
36,AEROCARIBBEAN AIRLINES,entity,CUBA,AERO-CARIBBEAN
173,"ANGLO-CARIBBEAN CO., LTD.",entity,CUBA,AVIA IMPORT
306,BANCO NACIONAL DE CUBA,entity,CUBA,NATIONAL BANK OF CUBA
424,BOUTIQUE LA MAISON,entity,CUBA,
475,CASA DE CUBA,entity,CUBA,
480,"CECOEX, S.A.",entity,CUBA,
535,CIMEX,entity,CUBA,
536,CIMEX IBERICA,entity,CUBA,
537,"CIMEX, S.A.",entity,CUBA,
540,"COMERCIAL IBEROAMERICANA, S.A.",entity,CUBA,COIBA
551,"COMERCIAL CIMEX, S.A.",entity,CUBA,
552,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",entity,CUBA,CRYMSA
555,COMERCIALIZACION DE PRODUCTOS VARIOS,entity,CUBA,COPROVA; COPROVA SARL
559,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,entity,CUBA,CIMEX
576,"CORPORACION CIMEX, S.A.",entity,CUBA,
578,COTEI,entity,CUBA,
589,"CRYMSA - ARGENTINA, S.A.",entity,CUBA,
590,CUBACANCUN CIGARS AND GIFT SHOPS,entity,CUBA,
591,CUBAEXPORT,entity,CUBA,
592,CUBAFRUTAS,entity,CUBA,
593,CUBAN CIGARS TRADE,entity,CUBA,
621,CUBANATUR,entity,CUBA,
622,CUBATABACO,entity,CUBA,
636,"CUMEXINT, S.A.",entity,CUBA,
651,"DELVEST HOLDING, S.A.",entity,CUBA,DELVEST HOLDING COMPANY
701,EDICIONES CUBANAS,entity,CUBA,
702,"EDYJU, S.A.",entity,CUBA,
735,EMPRESA CUBANA DE AVIACION,entity,CUBA,CUBANA AIRLINES
751,EMPRESA CUBANA DE PESCADOS Y MARISCOS,entity,CUBA,CARIBBEAN EXPORT ENTERPRISE
758,EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,entity,CUBA,CUBATUR
767,ETCO INTERNATIONAL COMMODITIES LTD.,entity,CUBA,
768,"ETCO INTERNATIONAL COMPANY, LIMITED",entity,CUBA,
815,"GALAX TRADING CO., LTD.",entity,CUBA,GALAX INC.
906,HAVIN BANK LIMITED,entity,CUBA,"HAVANA INTERNATIONAL BANK, LTD"
907,HAVANATUR,entity,CUBA,
1042,INSTITUTO NACIONAL DE TURISMO DE CUBA,entity,CUBA,
1043,INTERCONSULT,entity,CUBA,
1241,"KAVE, S.A.",entity,CUBA,
1287,LA EMPRESA CUBANA DE FLETES,entity,CUBA,CUFLET; CUBAN FREIGHT ENTERPRISE
1316,"LEVERAGE, S.A.",entity,CUBA,
1555,NIREF,entity,CUBA,
1570,NORDSTRAND LTD.,entity,CUBA,
1571,NORDSTRAND MARITIME AND TRADING COMPANY,entity,CUBA,
1641,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,entity,CUBA,
1660,"PESCABRAVA, S.A.",entity,CUBA,
1700,PRELASA,entity,CUBA,
1701,PRENSA LATINA CANADA LTD.,entity,CUBA,
1702,PRENSA LATINA,entity,CUBA,
1888,"SERVINAVES, S.A.",entity,CUBA,
2109,"TROBER, S.A.",entity,CUBA,"TROVER, S.A."
2110,TROPIC TOURS GMBH,entity,CUBA,TROPICANA TOURS GMBH
2184,"VIAJES GUAMA, S.A.",entity,CUBA,
2186,VINALES TOURS,entity,CUBA,
2674,"ABBAS, Abu",individual,SDGT,"ZAYDAN, Muhammad"
2675,"AL RAHMAN, Shaykh Umar Abd",individual,SDGT,
2676,"AL ZAWAHIRI, Dr. Ayman",individual,SDGT,"AL-ZAWAHIRI, Ayman; SALIM, Ahmad Fuad; AL-ZAWAHIRI, Aiman Muhammad Rabi"
2677,"AL-ZOMOR, Abboud Abdul Latif Hassan",individual,SDGT,"ZUMAR, Abbud; AL-ZUMAR, Abbud; EL-ZOMOR, Aboud Abdul Latif Hasan; AL-ZUMUR, Abood Abdul Latif Hassan; AL-ZAMUR, Abboud Abdul Latif Hassan"
2678,"AWDA, Abd Al Aziz",individual,SDGT,
2679,"FADLALLAH, Shaykh Muhammad Husayn",individual,SDGT,
2681,"HAWATMA, Nayif",individual,SDGT,"HAWATMEH, Nayif; HAWATMAH, Nayif; KHALID, Abu"
2682,"ISLAMBOULI, Mohammad Shawqi",individual,SDGT,
2683,"JABRIL, Ahmad",individual,SDGT,"JIBRIL, Ahmad"
2685,"NAJI, Talal Muhammad Rashid",individual,SDGT,
2686,"NASRALLAH, Hasan",individual,SDGT,"NASRALLAH, Hasan Abd-al-Karim"
2690,"TUFAYLI, Subhi",individual,SDGT,
2691,"YASSIN, Sheik Ahmed Ismail",individual,SDGT,
3748,COBALT REFINERY CO. INC.,entity,CUBA,
3749,LA COMPANIA GENERAL DE NIQUEL,entity,CUBA,GENERAL NICKEL SA
3750,INTERNATIONAL COBALT CO. INC.,entity,CUBA,
3751,MOA NICKEL SA,entity,CUBA; CUBA-EO14404,
3754,"ABU MARZOOK, Mousa Mohammed",individual,SDGT,"MARZUK, Musa Abu; ABU-MARZUQ, Dr. Musa; MARZOOK, Mousa Mohamed Abou; ABU-MARZUQ, Sa'id; MARZOUK, Musa Abu"
4107,"RODRIGUEZ OREJUELA, Gilberto Jose",individual,SDNT,
4108,"RODRIGUEZ OREJUELA, Miguel Angel",individual,SDNT,
4238,MAR AZUL,vessel,CUBA,
4243,EBANO,vessel,CUBA,
4249,TIFON,vessel,CUBA,
4257,"ABDALLAH, Ramadan",individual,SDGT,"ABDULLAH, Dr. Ramadan; SHALLAH, Dr. Ramadan Abdullah; SHALLAH, Ramadan Abdalla Mohamed"
4632,BANK MARKAZI JOMHOURI ISLAMI IRAN,entity,IRAN; SDGT; IRGC; IFSR,CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN; BANK MARKAZI IRAN; CENTRAL BANK OF IRAN
4633,BANK MASKAN,entity,IRAN; IRAN-EO13902,HOUSING BANK - OF IRAN
4635,BANK REFAH KARGARAN,entity,IRAN; IRAN-EO13902,WORKERS' WELFARE BANK - OF IRAN; BANK REFAH
4639,BANK KESHAVARZI IRAN,entity,IRAN; IRAN-EO13902,AGRICULTURAL BANK OF IRAN; BANK KESHAVARZI
4642,BANK SADERAT PLC,entity,IRAN; SDGT; IFSR,IRAN OVERSEAS INVESTMENT BANK PLC; IRAN OVERSEAS INVESTMENT CORPORATION LIMITED; IRAN OVERSEAS INVESTMENT BANK LIMITED
4688,ABU SAYYAF GROUP,entity,FTO; SDGT,AL HARAKAT AL ISLAMIYYA
4690,ARMED ISLAMIC GROUP,entity,SDGT,GROUPEMENT ISLAMIQUE ARME; AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH
4691,AUM SHINRIKYO,entity,SDGT,AUM SUPREME TRUTH; A.I.C. SOGO KENKYUSHO; A.I.C. COMPREHENSIVE RESEARCH INSTITUTE; ALEPH
4693,EUZKADI TA ASKATASUNA,entity,SDGT,BASQUE FATHERLAND AND LIBERTY; BATASUNA; EUSKAL HERRITARROK; HERRI BATASUNA; ASKATASUNA; EKIN; XAKI; JARRAI-HAIKA-SEGI; EPANASTATIKI PIRINES; POPULAR REVOLUTIONARY STRUGGLE
